__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 0, "total_folds": 5, "current_fold": null, "phase": null, "status": "running", "detail": "mode=learned_auto output_root=/home/sonet/.openclaw/workspace/research/neuralforecast/runs/brentoil_case3_HPT_n100/scheduler/workers/DLinear", "event": "model-start", "progress_pct": 0, "progress_text": "[------------------] 0/1005   0%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 0, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-1/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 0, "progress_text": "[------------------] 0/1005   0%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 1, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-1/200", "status": "running", "detail": "mse=44.5045", "event": "fold-done", "progress_pct": 0, "progress_text": "[------------------] 1/1005   0%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 1, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-1/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 0, "progress_text": "[------------------] 1/1005   0%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 2, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-1/200", "status": "running", "detail": "mse=53.4356", "event": "fold-done", "progress_pct": 0, "progress_text": "[------------------] 2/1005   0%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 2, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-1/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 0, "progress_text": "[------------------] 2/1005   0%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 3, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-1/200", "status": "running", "detail": "mse=11.2673", "event": "fold-done", "progress_pct": 0, "progress_text": "[------------------] 3/1005   0%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 3, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-1/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 0, "progress_text": "[------------------] 3/1005   0%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 4, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-1/200", "status": "running", "detail": "mse=235.3192", "event": "fold-done", "progress_pct": 0, "progress_text": "[------------------] 4/1005   0%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 4, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-1/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 0, "progress_text": "[------------------] 4/1005   0%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 5, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-1/200", "status": "running", "detail": "mse=320.1910", "event": "fold-done", "progress_pct": 0, "progress_text": "[------------------] 5/1005   0%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 5, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-2/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 0, "progress_text": "[------------------] 5/1005   0%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 6, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-2/200", "status": "running", "detail": "mse=16.5465", "event": "fold-done", "progress_pct": 1, "progress_text": "[------------------] 6/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 6, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-2/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 1, "progress_text": "[------------------] 6/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 7, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-2/200", "status": "running", "detail": "mse=7.6059", "event": "fold-done", "progress_pct": 1, "progress_text": "[------------------] 7/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 7, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-2/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 1, "progress_text": "[------------------] 7/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 8, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-2/200", "status": "running", "detail": "mse=8.7111", "event": "fold-done", "progress_pct": 1, "progress_text": "[------------------] 8/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 8, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-2/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 1, "progress_text": "[------------------] 8/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 9, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-2/200", "status": "running", "detail": "mse=2.6917", "event": "fold-done", "progress_pct": 1, "progress_text": "[------------------] 9/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 9, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-2/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 1, "progress_text": "[------------------] 9/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 10, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-2/200", "status": "running", "detail": "mse=200.2836", "event": "fold-done", "progress_pct": 1, "progress_text": "[------------------] 10/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 10, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-3/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 1, "progress_text": "[------------------] 10/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 11, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-3/200", "status": "running", "detail": "mse=28.9952", "event": "fold-done", "progress_pct": 1, "progress_text": "[------------------] 11/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 11, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-3/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 1, "progress_text": "[------------------] 11/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 12, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-3/200", "status": "running", "detail": "mse=46.2129", "event": "fold-done", "progress_pct": 1, "progress_text": "[------------------] 12/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 12, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-3/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 1, "progress_text": "[------------------] 12/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 13, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-3/200", "status": "running", "detail": "mse=141.4657", "event": "fold-done", "progress_pct": 1, "progress_text": "[------------------] 13/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 13, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-3/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 1, "progress_text": "[------------------] 13/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 14, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-3/200", "status": "running", "detail": "mse=73.8711", "event": "fold-done", "progress_pct": 1, "progress_text": "[------------------] 14/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 14, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-3/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 1, "progress_text": "[------------------] 14/1005   1%"}
__NF_PROGRESS__{"job_name": "DLinear", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 15, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-3/200", "status": "running", "detail": "mse=608.6638", "event": "fold-done", "progress_pct": 1, "progress_text": "[------------------] 15/1005   1%"}
